"BehaviorSpace results (NetLogo 6.1.1)"
"rum_eth.nlogo"
"experiment"
"11/09/2019 17:53:07:742 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num_alternative","density","similar_wanted_ethnic","beta-ie","similar_wanted_value","circle_blue","fraction_blue","circle_orange","[step]","ticks","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself] / count (turtles-on neighbors) ] of turtles with [count (turtles-on neighbors) >= 1]"
"36","1","70","1","35","1","50","50","50","5","250","1"
"60","1","70","1","59","1","50","50","50","5","250","1"
"43","1","70","1","42","1","50","50","50","5","250","1"
"53","1","70","1","52","1","50","50","50","5","250","0.9993169398907104"
"59","1","70","1","58","1","50","50","50","5","250","1"
"52","1","70","1","51","1","50","50","50","5","250","1"
"5","1","70","1","4","1","50","50","50","5","250","0.9381820370511157"
"62","1","70","1","61","1","50","50","50","5","250","1"
"27","1","70","1","26","1","50","50","50","5","250","0.9993362831858408"
"30","1","70","1","29","1","50","50","50","5","250","1"
"15","1","70","1","14","1","50","50","50","5","250","0.9972146615859191"
"54","1","70","1","53","1","50","50","50","5","250","1"
"9","1","70","1","8","1","50","50","50","6","300","0.9888260321039348"
"13","1","70","1","12","1","50","50","50","6","300","0.9971439100792335"
"7","1","70","1","6","1","50","50","50","6","300","0.9804360218474913"
"2","1","70","1","1","1","50","50","50","6","300","0.5632360107203761"
"12","1","70","1","11","1","50","50","50","6","300","0.9955174322080796"
"32","1","70","1","31","1","50","50","50","6","300","0.9992269464384318"
"20","1","70","1","19","1","50","50","50","6","300","0.9986518928901199"
"21","1","70","1","20","1","50","50","50","6","300","0.9993712411153636"
"48","1","70","1","47","1","50","50","50","6","300","0.9988987599481769"
"42","1","70","1","41","1","50","50","50","6","300","0.9997506925207756"
"23","1","70","1","22","1","50","50","50","6","300","0.9994306703397612"
"34","1","70","1","33","1","50","50","50","6","300","1"
"8","1","70","1","7","1","50","50","50","6","300","0.9915914370182662"
"17","1","70","1","16","1","50","50","50","6","300","0.9975482555269789"
"47","1","70","1","46","1","50","50","50","6","300","1"
"50","1","70","1","49","1","50","50","50","6","300","1"
